,id,title,rating,genre,year
98,tt13238346,Past Lives,7.8,"Drama, Romance",2023
99,tt12747748,Leave the World Behind,6.4,"Drama, Mystery, Thriller",2023
100,tt12908150,The Life of Chuck,7.3,"Drama, Fantasy, Sci-Fi",2024
101,tt23149780,Eden,6.5,"Adventure, Drama, History",2024
102,tt11539996,Relay,7.0,"Action, Drama, Thriller",2024
103,tt1262426,Wicked,7.4,"Fantasy, Musical, Romance",2024
104,tt17526714,The Substance,7.2,"Drama, Horror, Sci-Fi",2024
105,tt15239678,Dune: Part Two,8.4,"Action, Adventure, Drama",2024
106,tt28607951,Anora,7.4,"Comedy, Drama, Romance",2024
107,tt1684562,The Fall Guy,6.8,"Action, Comedy, Drama",2024
108,tt21235248,Ghostbusters: Frozen Empire,6.1,"Adventure, Comedy, Fantasy",2024
109,tt5040012,Nosferatu,7.1,"Fantasy, Horror, Mystery",2024
110,tt17279496,Civil War,7.0,"Action, Thriller, War",2024
111,tt8999762,The Brutalist,7.3,Drama,2024
112,tt28015403,Heretic,7.0,"Horror, Thriller",2024
113,tt6263850,Deadpool & Wolverine,7.5,"Action, Adventure, Comedy",2024
114,tt11563598,A Complete Unknown,7.3,"Biography, Drama, Music",2024
115,tt26446278,The Count of Monte-Cristo,7.6,"Action, Adventure, Drama",2024
116,tt5177120,The Ministry of Ungentlemanly Warfare,6.8,"Action, Comedy, War",2024
117,tt23468450,Longlegs,6.6,"Crime, Horror, Mystery",2024
118,tt9218128,Gladiator II,6.5,"Action, Adventure, Drama",2024
119,tt16426418,Challengers,7.0,"Comedy, Drama, Romance",2024
120,tt30505698,Friendship,6.7,Comedy,2024
121,tt29623480,The Wild Robot,8.2,"Animation, Adventure, Family",2024
122,tt18412256,Alien: Romulus,7.1,"Horror, Sci-Fi, Thriller",2024
123,tt22408160,Kinds of Kindness,6.5,"Comedy, Drama, Horror",2024
124,tt14961016,I'm Still Here,8.2,"Biography, Drama, History",2024
125,tt27543632,The Housemaid,6.9,"Drama, Thriller",2025
126,tt32916440,Marty Supreme,8.3,"Drama, Sport",2025
127,tt30144839,One Battle After Another,7.9,"Action, Crime, Drama",2025
128,tt1757678,Avatar: Fire and Ash,7.5,"Action, Adventure, Fantasy",2025
129,tt14364480,Wake Up Dead Man,7.4,"Comedy, Crime, Drama",2025
130,tt29567915,Nuremberg,7.4,"Biography, Drama, History",2025
131,tt12300742,Bugonia,7.5,"Comedy, Crime, Sci-Fi",2025
132,tt31227572,Predator: Badlands,7.3,"Action, Adventure, Sci-Fi",2025
133,tt31193180,Sinners,7.5,"Action, Drama, Horror",2025
134,tt6604188,Tron: Ares,6.3,"Action, Adventure, Sci-Fi",2025
135,tt1312221,Frankenstein,7.5,"Drama, Fantasy, Horror",2025
136,tt26443597,Zootopia 2,7.6,"Animation, Action, Adventure",2025
137,tt33014583,Untitled Ranveer Singh/Aditya Dhar Project,N/A,N/A,2025
138,tt29768334,Train Dreams,7.5,Drama,2025
139,tt26581740,Weapons,7.5,"Horror, Mystery",2025
140,tt27714581,Sentimental Value,7.9,Drama,2025
141,tt16311594,F1: The Movie,7.7,"Action, Drama, Sport",2025
142,tt10548174,28 Years Later,6.6,"Horror, Sci-Fi, Thriller",2025
143,tt30446847,Jay Kelly,6.4,"Comedy, Drama",2025
144,tt24950660,Eternity,7.0,"Comedy, Drama, Fantasy",2025
145,tt14107334,The Running Man,6.4,"Action, Adventure, Sci-Fi",2025
146,tt9362736,Die My Love,6.1,"Drama, Thriller",2025
147,tt4627382,Roofman,7.0,"Biography, Crime, Drama",2025
148,tt4712810,Now You See Me: Now You Don't,6.0,"Crime, Thriller",2025
149,tt10374610,The Long Walk,6.8,"Horror, Sci-Fi, Thriller",2025
